PAYS,ANNEES,NOM
Philippines,7,Travailleur1
Lituanie,10,Travailleur2
Barbade,1,Travailleur3
Hongrie,1,Travailleur4
Chypre,2,Travailleur5
Pérou,2,Travailleur6
Irlande,2,Travailleur7
Royaume-Uni,9,Travailleur8
Timor oriental,1,Travailleur9
Bahreïn,3,Travailleur10
Irlande,6,Travailleur11
Papouasie-Nouvelle-Guinée,1,Travailleur12
Kazakhstan,2,Travailleur13
Rwanda,7,Travailleur14
Pakistan,2,Travailleur15
Nigeria,10,Travailleur16
Sénégal,3,Travailleur17
Koweït,3,Travailleur18
Croatie,2,Travailleur19
Afrique du Sud,7,Travailleur20
Érythrée,1,Travailleur21
Portugal,8,Travailleur22
Tuvalu,3,Travailleur23
Islande,2,Travailleur24
Maroc,6,Travailleur25
Fidji,1,Travailleur26
Tunisie,3,Travailleur27
Kiribati,3,Travailleur28
Bangladesh,2,Travailleur29
Haïti,1,Travailleur30
États-Unis,1,Travailleur31
Marshall,2,Travailleur32
Afghanistan,2,Travailleur33
Libye,1,Travailleur34
Ouzbékistan,6,Travailleur35
Monténégro,5,Travailleur36
Turquie,1,Travailleur37
Serbie,8,Travailleur38
Turquie,1,Travailleur39
Iran,3,Travailleur40
Canada,7,Travailleur41
Érythrée,3,Travailleur42
Guinée-Bissau,1,Travailleur43
Tuvalu,9,Travailleur44
Yémen,3,Travailleur45
Bulgarie,6,Travailleur46
Tonga,2,Travailleur47
Monaco,10,Travailleur48
Bahreïn,3,Travailleur49
Comores,1,Travailleur50
Tchad,2,Travailleur51
Malaisie,3,Travailleur52
Samoa,2,Travailleur53
Chili,3,Travailleur54
République centrafricaine,1,Travailleur55
Bhoutan,10,Travailleur56
Chypre,2,Travailleur57
République tchèque,1,Travailleur58
Afghanistan,1,Travailleur59
Kiribati,3,Travailleur60
Canada,10,Travailleur61
Kiribati,3,Travailleur62
République centrafricaine,2,Travailleur63
Soudan,1,Travailleur64
Danemark,3,Travailleur65
Philippines,3,Travailleur66
Mali,2,Travailleur67
Togo,10,Travailleur68
Togo,9,Travailleur69
Palaos,2,Travailleur70
Samoa,10,Travailleur71
Ukraine,1,Travailleur72
Vanuatu,6,Travailleur73
Bolivie,3,Travailleur74
Cuba,8,Travailleur75
Portugal,3,Travailleur76
Australie,10,Travailleur77
Canada,1,Travailleur78
Nicaragua,2,Travailleur79
Russie,3,Travailleur80
Trinité-et-Tobago,2,Travailleur81
Tadjikistan,2,Travailleur82
Rwanda,3,Travailleur83
Nicaragua,2,Travailleur84
Birmanie,10,Travailleur85
Inde,1,Travailleur86
Maroc,1,Travailleur87
Bhoutan,2,Travailleur88
Qatar,1,Travailleur89
Nauru,5,Travailleur90
Saint-Vincent-et-les-Grenadines,1,Travailleur91
République centrafricaine,2,Travailleur92
Bahreïn,1,Travailleur93
Saint-Vincent-et-les-Grenadines,9,Travailleur94
Marshall,1,Travailleur95
Macédoine,1,Travailleur96
Israël,1,Travailleur97
Papouasie-Nouvelle-Guinée,2,Travailleur98
Suède,1,Travailleur99
Albanie,6,Travailleur100